algorithm;seed;mean_total_score;mean_assignments_selected;mean_invalid_actions;mean_total_match_score;num_test_scenarios
dqn;1;69.17555555555556;7.266666666666667;0.0;-2.0244444444444443;15
dqn;2;68.56555555555556;7.2;0.0;-1.8344444444444443;15
dqn;3;68.36333333333333;7.2;0.0;-2.036666666666667;15
dqn;4;68.24999999999999;7.2;0.0;-2.1500000000000004;15
dqn;5;68.52888888888887;7.2;0.0;-1.8711111111111112;15
qrdqn;1;69.29222222222224;7.266666666666667;0.0;-1.9077777777777776;15
qrdqn;2;68.52222222222221;7.2;0.0;-1.8777777777777778;15
qrdqn;3;69.20222222222223;7.266666666666667;0.0;-1.9977777777777777;15
qrdqn;4;68.69777777777777;7.2;0.0;-1.7022222222222225;15
qrdqn;5;69.22888888888889;7.266666666666667;0.0;-1.9711111111111113;15
greedy;;68.8688888888889;7.2;0.0;-1.5311111111111115;15
